indice,date,value
INPC/IBGE,01/07/1994,11.346741
INPC/IBGE,02/07/1994,11.346741
INPC/IBGE,03/07/1994,11.346741
INPC/IBGE,04/07/1994,11.346741
INPC/IBGE,05/07/1994,11.346741
INPC/IBGE,06/07/1994,11.346741
INPC/IBGE,07/07/1994,11.346741
INPC/IBGE,08/07/1994,11.346741
INPC/IBGE,09/07/1994,11.346741
INPC/IBGE,10/07/1994,11.346741
INPC/IBGE,11/07/1994,11.346741
INPC/IBGE,12/07/1994,11.346741
INPC/IBGE,13/07/1994,11.346741
INPC/IBGE,14/07/1994,11.346741
INPC/IBGE,15/07/1994,11.346741
INPC/IBGE,16/07/1994,11.346741
INPC/IBGE,17/07/1994,11.346741
INPC/IBGE,18/07/1994,11.346741
INPC/IBGE,19/07/1994,11.346741
INPC/IBGE,20/07/1994,11.346741
INPC/IBGE,21/07/1994,11.346741
INPC/IBGE,22/07/1994,11.346741
INPC/IBGE,23/07/1994,11.346741
INPC/IBGE,24/07/1994,11.346741
INPC/IBGE,25/07/1994,11.346741
INPC/IBGE,26/07/1994,11.346741
INPC/IBGE,27/07/1994,11.346741
INPC/IBGE,28/07/1994,11.346741
INPC/IBGE,29/07/1994,11.346741
INPC/IBGE,30/07/1994,11.346741
INPC/IBGE,31/07/1994,11.346741
INPC/IBGE,01/08/1994,12.036622
INPC/IBGE,02/08/1994,12.036622
INPC/IBGE,03/08/1994,12.036622
INPC/IBGE,04/08/1994,12.036622
INPC/IBGE,05/08/1994,12.036622
INPC/IBGE,06/08/1994,12.036622
INPC/IBGE,07/08/1994,12.036622
INPC/IBGE,08/08/1994,12.036622
INPC/IBGE,09/08/1994,12.036622
INPC/IBGE,10/08/1994,12.036622
INPC/IBGE,11/08/1994,12.036622
INPC/IBGE,12/08/1994,12.036622
INPC/IBGE,13/08/1994,12.036622
INPC/IBGE,14/08/1994,12.036622
INPC/IBGE,15/08/1994,12.036622
INPC/IBGE,16/08/1994,12.036622
INPC/IBGE,17/08/1994,12.036622
INPC/IBGE,18/08/1994,12.036622
INPC/IBGE,19/08/1994,12.036622
INPC/IBGE,20/08/1994,12.036622
INPC/IBGE,21/08/1994,12.036622
INPC/IBGE,22/08/1994,12.036622
INPC/IBGE,23/08/1994,12.036622
INPC/IBGE,24/08/1994,12.036622
INPC/IBGE,25/08/1994,12.036622
INPC/IBGE,26/08/1994,12.036622
INPC/IBGE,27/08/1994,12.036622
INPC/IBGE,28/08/1994,12.036622
INPC/IBGE,29/08/1994,12.036622
INPC/IBGE,30/08/1994,12.036622
INPC/IBGE,31/08/1994,12.036622
INPC/IBGE,01/09/1994,12.693821
INPC/IBGE,02/09/1994,12.693821
INPC/IBGE,03/09/1994,12.693821
INPC/IBGE,04/09/1994,12.693821
INPC/IBGE,05/09/1994,12.693821
INPC/IBGE,06/09/1994,12.693821
INPC/IBGE,07/09/1994,12.693821
INPC/IBGE,08/09/1994,12.693821
INPC/IBGE,09/09/1994,12.693821
INPC/IBGE,10/09/1994,12.693821
INPC/IBGE,11/09/1994,12.693821
INPC/IBGE,12/09/1994,12.693821
INPC/IBGE,13/09/1994,12.693821
INPC/IBGE,14/09/1994,12.693821
INPC/IBGE,15/09/1994,12.693821
INPC/IBGE,16/09/1994,12.693821
INPC/IBGE,17/09/1994,12.693821
INPC/IBGE,18/09/1994,12.693821
INPC/IBGE,19/09/1994,12.693821
INPC/IBGE,20/09/1994,12.693821
INPC/IBGE,21/09/1994,12.693821
INPC/IBGE,22/09/1994,12.693821
INPC/IBGE,23/09/1994,12.693821
INPC/IBGE,24/09/1994,12.693821
INPC/IBGE,25/09/1994,12.693821
INPC/IBGE,26/09/1994,12.693821
INPC/IBGE,27/09/1994,12.693821
INPC/IBGE,28/09/1994,12.693821
INPC/IBGE,29/09/1994,12.693821
INPC/IBGE,30/09/1994,12.693821
INPC/IBGE,01/10/1994,12.885497
INPC/IBGE,02/10/1994,12.885497
INPC/IBGE,03/10/1994,12.885497
INPC/IBGE,04/10/1994,12.885497
INPC/IBGE,05/10/1994,12.885497
INPC/IBGE,06/10/1994,12.885497
INPC/IBGE,07/10/1994,12.885497
INPC/IBGE,08/10/1994,12.885497
INPC/IBGE,09/10/1994,12.885497
INPC/IBGE,10/10/1994,12.885497
INPC/IBGE,11/10/1994,12.885497
INPC/IBGE,12/10/1994,12.885497
INPC/IBGE,13/10/1994,12.885497
INPC/IBGE,14/10/1994,12.885497
INPC/IBGE,15/10/1994,12.885497
INPC/IBGE,16/10/1994,12.885497
INPC/IBGE,17/10/1994,12.885497
INPC/IBGE,18/10/1994,12.885497
INPC/IBGE,19/10/1994,12.885497
INPC/IBGE,20/10/1994,12.885497
INPC/IBGE,21/10/1994,12.885497
INPC/IBGE,22/10/1994,12.885497
INPC/IBGE,23/10/1994,12.885497
INPC/IBGE,24/10/1994,12.885497
INPC/IBGE,25/10/1994,12.885497
INPC/IBGE,26/10/1994,12.885497
INPC/IBGE,27/10/1994,12.885497
